Attribute ID,Attribute Category,Attribute Name,Reference Notation (if applicable),Suggested / Common  Notation,Scientific Measurement / Description,Unit Name,Standard Unit (UoM),Reference Organisation,RO Link,Range of Measurement,Unit Conversion Factors
WM19,Weather Monitoring,Solar Radiation,solarIrradiance,solarIrradiance,Solar Irradiance,watts per square metre,W/m2,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/austmaps/solar-radiation-glossary.shtml#radiationunits, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,"1 W/m2 = 1,000 mW/m2, 1 W/m2 = 100 µW/cm2, 1 W/m2 = 0.1 mW/cm2, 1 W/m2 = 0.001 kW/m2, 1 W/m2 = 0.0001 W/cm2"
WM20,Weather Monitoring,Sunshine Duration,,sunshineHours,Sum of all time periods during the day when direct solar irradiance ?120 W/m2,hours,h,BOM / WMO,"http://www.bom.gov.au/watl/sunshine/, https://library.wmo.int/doc_num.php?explnum_id=10616",,
WM21,Weather Monitoring,Temperature,airTemperature,airTemperature,Air temperature,degrees Celsius,°C,BOM / DPIRD / WMO,"http://www.bom.gov.au/jsp/awap/temp/index.jsp, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM22,Weather Monitoring,Temperature Average,airTemperatureAvg,airTemperatureAvg,Average air temperature for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/jsp/awap/temp/index.jsp, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM23,Weather Monitoring,Temperature Max,airTemperatureMax,airTemperatureMax,Maximum air temperature for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/jsp/awap/temp/index.jsp, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM24,Weather Monitoring,Temperature Min,airTemperatureMin,airTemperatureMin,Minimum air temperature for given period,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/jsp/awap/temp/index.jsp, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM25,Weather Monitoring,UV Index,uvIndex,uvIndex,Ultraviolet radiation; scaled indicator,numerical scaled quantity,,WHO / WMO,"https://apps.who.int/iris/handle/10665/42459, http://codes.wmo.int/common/quantity-kind/uvIndex",,
WM26,Weather Monitoring,Visibility,horizontalVisibility,horizontalVisibility,Horizontal distance of visibility,kilometres,km,BOM / WMO,"http://www.bom.gov.au/catalogue/observations/about-coastal-observations.shtml#:~:text=Km-,%27Vis%27,-is%20the%20visibility, https://library.wmo.int/doc_num.php?explnum_id=10616",,"1 km = 1,000 m, 1 km = 0.621371 mi"
WM27,Weather Monitoring,VPD,,VPD,Vapour Pressure Deficit,kilopascal,kPa,FAO,"https://www.fao.org/3/x0490e/x0490e07.htm#:~:text=The-,vapour%20pressure%20deficit",,"1 kPa = 10 hPa, 1 kPa = 1,000 Pa, 1 kPa = 7.50062 mmHg, 1 kPa = 10 mbar, 1 kPa = 0.145038 psi"
WM28,Weather Monitoring,Wet Bulb,wetBulb,wetBulb,Wet bulb temperature,degrees Celsius,°C,BOM / DPIRD,"http://www.bom.gov.au/climate/glossary/wetbulb.shtml, https://weather.agric.wa.gov.au/developer-api",,"°F = (°C × [9/5]) + 32, K = °C + 273.15"
WM29,Weather Monitoring,Wind Direction,windDirection,windDirection,Wind direction; clockwise from geographical north,degrees,°,WMO,https://library.wmo.int/doc_num.php?explnum_id=10616,0°-360°,"90° = East to West, 180° = South to North, 270° = West to East, 360° = North to South"
WM30,Weather Monitoring,Wind Speed,windSpeed,wind,Wind speed; rate of air movement,kilometres per hour,km/h,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/glossary/wetbulb.shtml, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616, http://codes.wmo.int/common/quantity-kind/windSpeed",,"1 m/s = 3.6 km/h, 1 kt = 1.852 km/h"
WM31,Weather Monitoring,Wind Speed Average,windAvgSpeed,windAvgSpeed,Average rate (speed) of air movement for given period,kilometres per hour,km/h,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/glossary/wetbulb.shtml, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,"1 m/s = 3.6 km/h, 1 kt = 1.852 km/h"
WM32,Weather Monitoring,Wind Speed Maximum,windMaxSpeed,windMaxSpeed,Maximum rate (speed) of air movement for given period,kilometres per hour,km/h,BOM / DPIRD / WMO,"http://www.bom.gov.au/climate/glossary/wetbulb.shtml, https://weather.agric.wa.gov.au/developer-api, https://library.wmo.int/doc_num.php?explnum_id=10616",,"1 m/s = 3.6 km/h, 1 kt = 1.852 km/h"
